Loan Date Quarter,BorrowerState,LoanAmount
2011-Q1,CA,2008500
2011-Q1,CO,357899
2011-Q1,CT,196736
2011-Q1,DC,101300
2011-Q1,DE,29150
2011-Q1,FL,1142348
2011-Q1,GA,643287
2011-Q1,HI,57296
2011-Q1,ID,74039
2011-Q1,IL,1172393
2011-Q1,IN,378087
2011-Q1,KS,189755
2011-Q1,KY,127343
2011-Q1,LA,102864
2011-Q1,MA,328929
2011-Q1,MD,575277
2011-Q1,MI,553427
2011-Q1,MN,284300
2011-Q1,MO,381645
2011-Q1,MS,176963
2011-Q1,MT,34381
2011-Q1,NC,414906
2011-Q1,NE,75300
2011-Q1,NH,82504
2011-Q1,NJ,441559
2011-Q1,NM,68229
2011-Q1,NV,126500
2011-Q1,NY,1025708
2011-Q1,OH,547504
2011-Q1,OK,156470
2011-Q1,OR,231987
2011-Q1,PA,567306
2011-Q1,RI,91184
2011-Q1,SC,177301
2011-Q1,SD,30500
2011-Q1,TN,321389
2011-Q1,TX,827678
2011-Q1,UT,133315
2011-Q1,VA,687709
2011-Q1,VT,18500
2011-Q1,WA,406933
2011-Q1,WI,242568
2011-Q1,WV,73250
2011-Q2,AK,56500
2011-Q2,AL,263192
2011-Q2,AR,143251
2011-Q2,AZ,238857
2011-Q2,CA,2232415
2011-Q2,CO,432595
2011-Q2,CT,329769
2011-Q2,DC,116000
2011-Q2,DE,43300
2011-Q2,FL,1525325
2011-Q2,GA,1069096
2011-Q2,HI,78109
2011-Q2,ID,35000
2011-Q2,IL,1108906
2011-Q2,IN,340937
2011-Q2,KS,175500
2011-Q2,KY,166729
2011-Q2,LA,166337
2011-Q2,MA,349907
2011-Q2,MD,604417
2011-Q2,MI,638380
2011-Q2,MN,438283
2011-Q2,MO,408570
2011-Q2,MS,176500
2011-Q2,MT,49705
2011-Q2,NC,685929
2011-Q2,NE,137600
2011-Q2,NH,86857
2011-Q2,NJ,767851
2011-Q2,NM,100975
2011-Q2,NV,246284
2011-Q2,NY,1298629
2011-Q2,OH,907168
2011-Q2,OK,139833
2011-Q2,OR,291285
2011-Q2,PA,539492
2011-Q2,RI,122055
2011-Q2,SC,248128
2011-Q2,SD,57200
2011-Q2,TN,475292
2011-Q2,TX,1263519
2011-Q2,UT,86700
2011-Q2,VA,656908
2011-Q2,VT,23000
2011-Q2,WA,483596
2011-Q2,WI,357595
2011-Q2,WV,61433
2011-Q2,WY,10500
2011-Q3,AK,57500
2011-Q3,AL,321110
2011-Q3,AR,249400
2011-Q3,AZ,302760
2011-Q3,CA,3397761
2011-Q3,CO,573675
2011-Q3,CT,473524
2011-Q3,DC,186000
2011-Q3,DE,103000
2011-Q3,FL,2005147
2011-Q3,GA,1218922
2011-Q3,HI,102600
2011-Q3,ID,190600
2011-Q3,IL,1607276
2011-Q3,IN,556482
2011-Q3,KS,223742
2011-Q3,KY,254818
2011-Q3,LA,276580
2011-Q3,MA,465850
2011-Q3,MD,660100
2011-Q3,MI,564505
2011-Q3,MN,420086
2011-Q3,MO,630989
2011-Q3,MS,169010
2011-Q3,MT,73900
2011-Q3,NC,796001
2011-Q3,NE,198636
2011-Q3,NH,92900
2011-Q3,NJ,827251
2011-Q3,NM,99500
2011-Q3,NV,276299
2011-Q3,NY,1778394
2011-Q3,OH,944741
2011-Q3,OK,216290
2011-Q3,OR,303650
2011-Q3,PA,766000
2011-Q3,RI,113725
2011-Q3,SC,348700
2011-Q3,SD,83100
2011-Q3,TN,632606
2011-Q3,TX,1784309
2011-Q3,UT,188100
2011-Q3,VA,1159245
2011-Q3,VT,35100
2011-Q3,WA,682650
2011-Q3,WI,618651
2011-Q3,WV,117500
2011-Q3,WY,61700
2011-Q4,AK,70000
2011-Q4,AL,533388
2011-Q4,AR,213500
2011-Q4,AZ,537870
2011-Q4,CA,5081566
2011-Q4,CO,694431
